image,emotion,text,source,split
"Invincible, Vol. 1.pdf_p0932_panel_4.jpg",neutral,"oth
bn
2
EZo
23
OFS
soz

~ 2k
HS",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0816_panel_2.jpg",neutral,"CCT POs ee _ Ws £,) ei,° Ne-L
TO THAT CHAMBER--UNABLE TO
Me. I WAS TOO HIDEOUS TO HAVE y ” WANTED MORE, I
CONTACT WITH THE OUTSIDE 7 WANTED TO BE HUMAN.
WORLD--SO I DEVISED “Sy 2 «E CLONED THIS Bopy--
ANOTHER WAY. APRONE-- NS ACQUIRED YOUR AID IN
AN AUTOMATION PLACING MY
THROUGH WHICH I CONSCIOUSNESS IN
: ! COULD Live MY LIFE-- IT. SO MAKE NO
co AS SOMEONE-- ~ MISTAKE...
SOMETHING eise. | ony
\ MOVE ABOUT THE WORLD NOP IE Le
» AS IF IT WAS NORMAL, , ROBOT, YOU
. FORATIME, THAT 4 FOOLS.
» WAS ENOUGH.

I AM

 

ROBOT.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0305_panel_4.jpg",joy,"oY!
ioe

\

 
  

   

%",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1000_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0158_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0142_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0523_panel_10.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0583_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0607_panel_1.jpg",surprise,"NOTRING LIKE A
NEW (SSUE OF
SCIENCE DOG

TO MAKE ME
FINP THE TIME,
Y'KNOW.

       
 

R

O.

  

baad
OO

    

rd
o_o",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0502_panel_7.jpg",surprise,"TANPING
THERE WHEN
I GOT

m HERE?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0203_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0528_panel_4.jpg",neutral,"U READY FOR

: BIG MEETING
VE? GONNA Be
> ONE. LOOKING
WARP TO YOUR

E SENTATION. a

Y- YeaH--
SURE. I’M
iota \
PREPARED. SEE |
YOU THERE,
GUYS.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0659_panel_3.jpg",neutral,"fo Rae on) a
oe ars “se
Soe . a

 

IM
XX p Non Sa",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0522_panel_4.jpg",fear,"THEN--THINGS CHANGED.
HE, I DON’T KNOW, STARTED
BEING LATE ALL THE TIME.
HE ALWAYS SEEMED
LIKE HE WAS...
PREOCCUPIED.

  
  
 
  
 
    
   
    
    
   
 

TOWARDS THE

END OF OUR SENIOR
YEAR. HE’D

DISAPPEAR FOR
HOURS AT

A TIME.

  
    
     

 

HE HAD
THIS BEEPER
ALL OF A SUDPEN,
AND WAS ALWAYS",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0977_panel_0.jpg",neutral,"\=""_' 19",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0659_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0362_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0648_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0796_panel_1.jpg",anger,"NO... LET'S GET THIS
OVER WITH. I WANT
TO GET BACK TO YOUR
MOTHER--FINISH
WHAT I STARTEP!",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0222_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0400_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0898_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0876_panel_6.jpg",neutral,"JEEZ,
WILLIAM--
WHERE--F |",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0540_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1023_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0341_panel_4.jpg",neutral,"RY AMBER,
4, TO HAVE TO
11S SHORT.
- GOT TO

GO.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0880_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0759_panel_7.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0066_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1062_panel_4.jpg",anger,"1/

§ w,
STRENGTH WILL “Se
BE auiTe USEFUL
VERY SOON. YOU Jae
MAY EVEN SuURvive #
PRISON LONG
ENOUGH TO BE
BROUGHT TO",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0176_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0393_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0614_panel_0.jpg",anger,"THIS IS IT. YOU YOU TALKED TO HIM
GOING TO DO THE LAST NIGHT. YOu
A TALKING? I DON’T SHOULD DO THE
. KNOW THIS TALKING. WHAT ARE

a YOU--SHY ALL OF
A SUPPEN?

ef

nt a

y NO, IT’S
UUST, ALL RICK
EVER TALKED
ABOUT WAS HOW
MUGH OF A JERK
THIS GUY WAS...
T DON’T--",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0982_panel_2.jpg",surprise,"IT’S JUST A MOVIE,
AMBER. AGOOP Movie
FROM WHAT I HEAR, TOO.
WE'VE GONE OUT BEFORE.

I DON’T SEE WHAT THE
BIG DEAL IS.

/ THE BIG DEAL,
GARY--IS THAT
I HAVE A
BOYFRIEND.
WE'VE BEEN
OVER THIS.

; SEEN A COUPLE
Movies, YEAH. WE

WORK ON HOMEWORK
TOGETHER, SURE.
BUT, I DON’T KNOW...
IT'S STARTING TO
SEEM LIKE IT’S",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0875_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0611_panel_9.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0810_panel_0.jpg",anger,"JUST KEEP IGNORING YX

THE FACT THAT YOU JUST

KILLED SOMEONE. THAT’S
HELPING YOU KEEP IT 4

; TOGETHER.

. a ALTHOUGH,

I DON’T THING ‘©
TALKING TO
YOURSELF IS THE
BEST THING

TO DO RIGHT
Now.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1081_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0113_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1008_panel_5.jpg",anger,DANGEROUS 4,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0147_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0762_panel_5.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0648_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1061_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0902_panel_4.jpg",anger,"YOU WILL
NOT HAVE A AS LONG
Y CRIMINAL RECORD-- AS YOU
YOU WILL NOT FACE p~ccertT OUR
INCARCERATION-- TERMS.

YOU WILL NOT BE
PUNISHED IN
ANY WAY.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0397_panel_3.jpg",fear,"SURE, L’D LOVE TO. I’M
ON A HORRIBLE sLeer
SCHEDULE ANYWAY. I’ve
REALLY BEEN SPOILING |

MYSELF WITH ALL = y
THIS MISSED
SCHOOL.

I DON’T
KNOW HOW
I’M GOING TO
Be ABLE",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0048_panel_5.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0526_panel_6.jpg",fear,"TEACHEK WAS THE
KINETIC KILLER--

HE WAS PRETTY
SMALL TIME
THOUGH.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0931_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1048_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0711_panel_1.jpg",neutral,"Ar ES A
mK

ti Saat

 

Rid r rf |
SAA USL
>. ao Ug",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0549_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0688_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1010_panel_5.jpg",neutral,"L CNOW YOU
ALWAYS KINDA
HAP A THING HE

FOR HIM. HEe’S TOLt
A, GOOP GUY-- BR
YOU SHOULD WI
GO FOR IT.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0515_panel_0.jpg",surprise,"¥ WOW, IDION’TEVEN ¥
KNOW THAT PLACE was J
THERE. THANKS FOR |
TAKING ME THERE, 4
GUYS.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0065_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0675_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0552_panel_8.jpg",anger,"HIS REAL MISSION WAS TO SEARCH
FOR BEINGS STRONG ENOUGH TO
PEFEAT HIM AND REPORT THEIR
EXISTENCE TO THE COALITION.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0885_panel_3.jpg",joy,"Hey,
Buppy! %
LISTEN TO
THE KID
ALREAPY!",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0788_panel_3.jpg",neutral,"DON’T DON’T §&
Move! EVE
BLI

N
NK!",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0327_panel_5.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0667_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0661_panel_4.jpg",neutral,"QULUN'T

TELL HIM ABOUT
HIS SUIT IF I
WERE YOU.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0725_panel_1.jpg",neutral,"LI DO NOT
SEE IT. IT IS
CLEAR TO ME
THAT YOU ARE
THE CLONE
AND IT AM THE
ORIGINAL.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0624_panel_0.jpg",anger,"I DON’T CARE.
I’M GOING TO
DO THE RIGHT

   
     

   

KID,
THIS IS
WRONG FOR

SO MANY
REASONS.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0259_panel_2.jpg",sadness,"HONESTLY, I WAS HAPPY IN
MY NEW LIFE... BUT I KNEW
IT COULPN’T LAST.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0681_panel_3.jpg",neutral,"MY V ’
sol DONT. REALLY NEED IT.
50 I FIGURED I’p SEE

IF THIS COSTUME

WOULP STILL

ORK.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0560_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0774_panel_7.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0933_panel_0.jpg",neutral,"LOCATION IN UTAH.
; a, is
THE SECRET MOUNTAIN

BASE OF THE GUARDIANS
OF THE GLOBE.

  

| AN UNPISCLOSED |
_",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0797_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0920_panel_2.jpg",neutral,"I’M

5
ei
ro
Sq
dee
ke

Oo
Ww
>
Ww
=
My
v4",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0132_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0699_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0240_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0688_panel_5.jpg",neutral,"|
|
|

ee
4

ONCE YOU DIDN'T

’ IMMEDIATELY RETURN
EROM THE CAV

ES--T
CAME TO FINP YOU.
THEY ARE NO POUBT

CIRCLING THE PLANET /#

IN SEARCH OF ME.
STAY LOW, LIKE
_ BEFORE.

Zs NM
17",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0731_panel_6.jpg",sadness,"MAN... I'M KINDA
WORRIED Now.
MAYBE I’LL SEE IF
THERE’S ANYTHING
I CAN BO TO

HELP OUT.
2

 
 
    
     
   
  
 

ILL BE
BACK SOON
I’ve Gotta da
SEE AMBER NOW,
LET HER KNOW",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0059_panel_0.jpg",surprise,"HEY,
MARK. WHAT
ARE YOU
DOING?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0678_panel_5.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0744_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1111_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1002_panel_7.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1008_panel_2.jpg",sadness,"YOU 100, =r
OLIVER,

    
  
 
   
   
     

  

SORRY, I
JUST CAN’T
HELP IT. (IT’S
SO MUCH FUN
I DON’T WANT",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0498_panel_0.jpg",neutral,""" WHAT WAS
THAT YOUNG

2D. OU ""
HAVE SOMETHING
YOU’D LIKE To '
ADP TO MY

    

LECTURE?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0764_panel_3.jpg",surprise,"wow--YoOU
GUYS GOT UP",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0017_panel_2.jpg",neutral,"THEY’RE
SOLAR BATTERIES.
I VESIGNED THAT

COSTUME BACK WHEN
I WAS UNDER THE
IMPRESSION THAT YOU
AND YOUR DAD’S

POWERS WERE SOLAR f
POWER BASED. 4",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1001_panel_2.jpg",surprise,"YOU'RE
KIDDING,
RIGHT?

DIDN'T
YOU SAY
YOU’VE BEEN
WATCHING

THE NEWS?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0518_panel_7.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0089_panel_5.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0660_panel_0.jpg",anger,"--I WOKE UP TO
COVERAGE OF THIS
ORDEAL ON THE NEWS.
YOU MIND IF I ECIL
BUTT IN TELEPORTED ME
a ey RIGHT OVER--I’D
Y> IT SEEMS HATE TO WASTE ALL
I'VE BEEN OUT THAT TECHNOLOGY
OF COMMISSION THAT BROUGHT

FOR AWHILE. T’> Py ME HERE.
LIKE TO GET BACK iim _.
INTO THE SWING ‘
OF THING

‘a",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0509_panel_1.jpg",sadness,"\f

H -A
IDEA WHAT
Mri THEY'RE UP J
PA TO?

) MONTHS £60, AND We've
\ BEEN UNABLE TO LOCATE
m THEM UNTILNOW. ff",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0013_panel_3.jpg",neutral,"Wy
3
oO
<
ow
~ Ww
Zz
3
2
>
Zz

YET...

Fi -",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1098_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0072_panel_1.jpg",disgust,"- Ire NUSSING
TUDENTS
ROM MY
CHOOL!",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0479_panel_4.jpg",neutral,"IT’S eS

REALLY.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0727_panel_1.jpg",neutral,\/,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0739_panel_6.jpg",anger,"IT ALL MADE A
WHOLE LOT OF
SENSE--AND I’D
HAD A COUPLE
HOURS TO GET
ATTACHED TO
THE LITTLE
BUGGER.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0657_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0139_panel_4.jpg",surprise,"THIS LpRpaeoa

  
 

POW eho ‘oni AS

TAT Tey

 
  

_ ty
. or, SC
NOT.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0684_panel_6.jpg",neutral,"FOR THE
FIRST TIME,
WE’RE GOING TO
KNOW EXACTLY
WHO IS THE COPY--",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0245_panel_1.jpg",neutral,"IT WAS DECIDED
THAT IN ORDER
5| FOR OUR PEOPLE
5 TO OBTAIN
INTERGALACTIC
DOMINANCE WE
MUST ELIMINATE

HE WEAK FRO

OUR PLA

IT WAS A VERY
MESSY PROCESS.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0893_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0814_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0867_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0629_panel_0.jpg",neutral,"SURE, LET'S GO--POINT
ME IN THE DIRECTION OF
THIS THREAT YOU
COULDN'T TELL ME ABOUT ,
ON THE WAY HERE.
TRUTH BETOLD, I'D &
LKE TO GET ,
TO IT.

hi

Sot
CAN GET WN
BACK HOME \\
AND ALL--
YOU UNPER-
STAND.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0008_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0522_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0544_panel_9.jpg",neutral,"ANV THAIS
WHY YOU HAVE
THE BEEPER.
YOU’RE NOT
SELLING
PRUGS.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0494_panel_3.jpg",joy,"I'M GOOD. I'M
GOING TO BE OUT

     

OF HERE INA",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0739_panel_11.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0975_panel_3.jpg",anger,"m YOU VON'T HAVE
ENOUGH FIGHT
4 LEFT IN YOU FOR",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0144_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0119_panel_2.jpg",neutral,"AT LEAST MAKE
SURE YOU
RINSE YOUR
PLATE.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0702_panel_2.jpg",anger,"GOT A SECONP.
ARE YOU
OKAY 4

THINK SO.
YEAH.

WHAT ARE
YOU POING OUT
THERE? YOU NEEP TO
FIGHT FAST. YOU CAN’T
GIVE THEM A SECOND TO
ANTICIPATE YOUR ATTACK--
YOU CAN'T TAKE THE TIME
TO THINK. YOU JUST ACT
, AND IF YOU'RE LUCKY
I CAN'T-- ENOUGH TO LAND
THEYRE JUST A BLOW--ACT
TOO FAST. I’M AGAIN.
TRYING BUTI
CAN'T, I’M JUST
NOT USEP TO
THIS. I--I DON’T
THINK I’M
» «READY.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0142_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0717_panel_3.jpg",anger,"GO, MARK. YOU
MUST GO AND
BE WITH YOUR

PEOPLE.

IF FOR NO
OTHER REASON
THAN YOU
REMIND ME OF
HIM--OF WHAT

I LOST--",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0718_panel_0.jpg",neutral,"WHAT IS IT

YOUR
BROTHER.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1072_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1002_panel_2.jpg",anger,"GET SOME CLOTHES
BEFORE I HEAD BACK
TO SCHOOL. I JUST
RUINED ANOTHER
, COSTUME. IF I FLEW

BACK IN THAT ONE

I’D ARRive
NAKED.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1101_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0202_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0492_panel_2.jpg",neutral,"a
ey
a

i
M4 5
oe *
CS ~ oe
Ul eres ies
Ul} coy Mees

f
OFF
if

wae4
oh

}
(",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0434_panel_0.jpg",anger,"a

T APOLOGIZE FOR THE ST |
ATTACK. THE SEQUIPS oe |
SPAT
2 PAL Ai NS

IN THAT SHIP. }
WE'VE TAKEN
THEM INTO
x CUSTODY.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0583_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0502_panel_1.jpg",disgust,"WE DON’T USE
THAT TERM. IT’S
PEMEANING.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0767_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0670_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0526_panel_1.jpg",anger,"NO--HE CAN’T BE.
HE ONE THAT SAVED
ME WAS THAT KID--

INVINCIBLE.

HE NEW ONE. HE HAD
HAT BIG FIGHT WITH
11S EVIL SUPERHERO

DAD. REMEMBER?

IT
HAPPENED
RIGHT AROUND
THE TIME THAT-- |",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1064_panel_1.jpg",neutral,"ad

 

 

id
7",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0812_panel_0.jpg",surprise,"WHAT
HAPPENED
TO YOU

GUYS?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0373_panel_3.jpg",fear,"Yeo, ANV WE
HAVE WORK TO DO.
THE BOY IS RUNNING
THROUGH HIS SPIEL

IN TIMES SQUARE
AGAIN.

 
   
   

DO WE KNOW
OF OMNI-MAN’S

CURRENT
WHEREABOUTS?

    
   
    
   

y WE NEED TO
7 FIGURE OUT A WAY
TO TRACK HIM. THERE

| fal ARE ONLY TWo OF THEM,
oh IF WE COULD MONITOR

THEIR MOVEMENT
WE COULD USE
JT THAT TO OUR
ADVANTAGE.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0025_panel_0.jpg",neutral,"|
:
|
|
|
|
|
;

i
———
Leeann anengnengalaungemmel

=|
ir
|
td
yd
iL
=:

i
. i

H Le)

Hirt

a |",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0120_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0813_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0386_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0542_panel_7.jpg",surprise,"L

ST.
WHEN HE FC
SAW THAT I
WAS THERE--
HE JUST LOOKED
AT ME, LIKE
HE WAS AS
SHOCKED AS",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0894_panel_5.jpg",disgust,SWEAR!,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0575_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0088_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0068_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1096_panel_0.jpg",neutral,"=
:
W
3
S
3)",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0774_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0682_panel_5.jpg",fear,"DO YOU KNOW WHY
I NEVER VISITER YOU?
WHY I NEVER REALLY
GOT TO KNOW ANY OF THE
ORIGINAL GUARDIANS?
WHY I WAS SO DISTANT--
DISCONNECTED?

Co YOU KNOW
NTT TL MY HISTORY, THE
THINGS I’VE BEEN
THROUGH, HOW LONG
I’VE BEEN AROUND. YOU
KNOW EVERYTHING.
YOU ALL PIP. STILL,
YOU NEVER QUITE
UNPERSTOOP.

 
 
 
 
 
 
  
  
  
  
 
 
 
 
 
 
 
  
  
 
 
 
 
 
 
 
   

   
  
  
 
 

 

T’VE SEEN
THOUSANPS DIE.
MANY OF THEM VERY
CLOSE TO ME. I’VE LOST
HUNDREDS OF WIVES,
FRIENDS--EVEN THE
ENEMIES STARTED
GETTING TO ME AFTER A
WHILE, AND I WANTEP
SOME OF THEM

DEAD.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0428_panel_6.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0518_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1078_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0308_panel_4.jpg",neutral,"DON’T GE.

YOU HAD NO PART IN IT.
FROM THE SOUNDS OF IT...
I’M THE ONE THAT SHOULD
BE APOLOGIZING TO YOU. IF

T HAD CHECKED MY RECORDS
BEFORE I LEFT HERE, I

MIGHT HAVE SEEN THAT
EARTH HAD BEEN FLAGGED

AS BEING PREPPED FOR

A VILTRUMITE
TAKEOVER.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0080_panel_0.jpg",neutral,"SO, MARK... WHAT
DO YOU THINK OF

ALL THIS?

I CAN’T
BELIEVE THEY
EXPECT US TO

EAT BOILED
CHICKEN FOR
LUNCH... IT’S

INHUMANE.

NO...
THIS MALL
BOMBING
STUFF.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0061_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0640_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0484_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1104_panel_7.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0866_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1064_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0832_panel_4.jpg",neutral,"I’M GOING
TO GET HER",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0699_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0104_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0931_panel_0.jpg",neutral,,auto_ocr_sentiment,train
